iter	MAPE	RMSE
0	5.958932338	737.6827995
1	5.858809404	727.2119671
2	5.772007037	715.604387
3	5.633719504	703.6969204
4	5.52268384	693.406635
5	5.409751835	681.7859857
6	5.331819683	669.5677684
7	5.21800302	657.9545998
8	5.140391355	643.3926243
9	5.121077944	631.9494104
10	5.067036797	621.3870316
11	4.942737096	609.8184379
12	4.878757655	599.3078469
13	4.844492035	591.0735132
14	4.751175961	579.5536651
15	4.686292077	572.3672401
16	4.611278915	560.6746359
17	4.496296798	548.8313515
18	4.423020623	540.5339381
19	4.397278223	535.0271847
20	4.373039779	529.9588213
21	4.298130525	524.4539882
22	4.168369622	509.0832629
23	4.137618161	502.312122
24	4.131791114	496.4837049
25	4.115005321	491.9683351
26	4.091354697	488.0486715
27	4.026706563	483.8637016
28	3.966435611	476.5329946
29	3.882599576	467.9926971
30	3.833426886	461.6955453
31	3.779938648	457.0283332
32	3.722531363	451.502014
33	3.667469881	446.4234036
34	3.638196664	443.6065496
35	3.568410204	436.1626882
36	3.560095127	433.4961799
37	3.499015952	424.3644531
38	3.457952038	420.1896501
39	3.421392184	416.8357061
40	3.417449676	414.5710938
41	3.432132465	412.3201518
42	3.378057489	404.40209
43	3.320293553	398.7104129
44	3.275143609	395.2787075
45	3.27156481	393.0966407
46	3.216606283	390.0265592
47	3.212837108	387.9158148
48	3.167251345	385.7213627
49	3.160091404	384.0055511
50	3.108605624	381.3261151
51	3.066463989	378.8666999
52	3.018377534	376.4715054
53	2.970776466	372.140612
54	2.895390369	367.5049264
55	2.857456192	365.8845294
56	2.882197853	364.5658545
57	2.835091007	361.0411089
58	2.806856582	358.3920551
59	2.779375604	355.9120044
60	2.752627593	353.590047
61	2.713554999	352.0781847
62	2.675517956	350.6352708
63	2.633952343	347.8803205
64	2.596737814	345.9075906
65	2.602372251	345.5339198
66	2.574870728	342.5241253
67	2.550420366	339.8509115
68	2.527521926	337.4781918
69	2.490366019	336.184381
70	2.468370889	334.6970808
71	2.431945198	333.4538426
72	2.410527479	332.051753
73	2.389687638	330.7386067
